time_ajustado	gFx	gFy	gFz	TgF
0,152181146	0,0968	0,9349	0,3423	1
0,152515052	0,0975	0,9347	0,3432	1
0,152802917	0,097	0,9354	0,3437	1,001
0,153807292	0,0963	0,9369	0,3442	1,003
0,155341406	0,097	0,9369	0,3445	1,003
0,156506719	0,0987	0,9361	0,3452	1,003
0,15787875	0,0999	0,9359	0,3452	1,003
0,1588025	0,1002	0,9364	0,3452	1,003
0,160080573	0,0994	0,9374	0,3452	1,004
0,160894896	0,0982	0,9374	0,3445	1,003
0,1622975	0,0972	0,9364	0,344	1,002
0,164710729	0,097	0,9359	0,3432	1,002
0,165204896	0,097	0,9366	0,3437	1,002
0,165858281	0,0968	0,9383	0,3449	1,004
0,167211927	0,0968	0,9398	0,3454	1,006
0,168772448	0,098	0,94	0,3454	1,006
0,169581042	0,0985	0,9403	0,3445	1,006
0,17063901	0,0975	0,9408	0,344	1,006
0,171747708	0,0975	0,941	0,344	1,007
0,172957396	0,0975	0,9415	0,343	1,007
0,174203437	0,0968	0,9427	0,3418	1,007
0,175532656	0,0963	0,943	0,3418	1,008
0,176663177	0,097	0,9425	0,3423	1,007
0,177709479	0,0972	0,942	0,3418	1,007
0,179131823	0,0985	0,9422	0,342	1,007
0,181500469	0,0994	0,9427	0,342	1,008
0,181990937	0,0997	0,942	0,3415	1,007
0,182981875	0,0989	0,941	0,3413	1,006
0,184038802	0,098	0,9415	0,3401	1,006
0,185317448	0,0972	0,9432	0,3396	1,007
0,186349896	0,0968	0,9447	0,3405	1,009
0,187534792	0,097	0,945	0,341	1,009
0,188965469	0,098	0,9447	0,3403	1,009
0,190059792	0,0989	0,9435	0,3393	1,007
0,191520625	0,098	0,9425	0,3401	1,007
0,192459583	0,097	0,9422	0,3398	1,006
0,193699844	0,0965	0,9417	0,3388	1,005
0,194953437	0,0968	0,9415	0,3388	1,005
0,195944948	0,098	0,9408	0,3379	1,004
0,198175729	0,0992	0,9408	0,3374	1,004
0,1987675	0,0992	0,9405	0,3374	1,004
0,199791354	0,0982	0,9398	0,3371	1,003
0,200917969	0,098	0,9398	0,3364	1,003
0,202068021	0,0985	0,9395	0,3357	1,003
0,203191302	0,0992	0,9391	0,3352	1,002
0,204415312	0,0987	0,9386	0,3349	1,001
0,205761042	0,0987	0,9383	0,3347	1,001
0,207013177	0,0997	0,9371	0,3347	1
0,207973542	0,1004	0,9364	0,3342	0,999
0,209133021	0,1004	0,9359	0,334	0,999
0,210421146	0,0992	0,9354	0,3332	0,998
0,211714375	0,0994	0,9352	0,333	0,998
0,212936302	0,0997	0,9342	0,3337	0,997
0,214907448	0,0994	0,933	0,3335	0,996
0,215433229	0,0992	0,9325	0,3332	0,995
0,216662031	0,0999	0,9327	0,3337	0,996
0,217964792	0,0999	0,9334	0,3342	0,996
0,219114844	0,1007	0,9342	0,3344	0,997
0,220186198	0,1016	0,9332	0,3352	0,997
0,221326302	0,1016	0,932	0,3364	0,996
0,22278125	0,1009	0,93	0,3376	0,995
0,22389526	0,1004	0,9273	0,3379	0,992
0,224920937	0,1004	0,9261	0,3369	0,991
0,226077917	0,1009	0,9264	0,3359	0,991
0,227365833	0,1011	0,9276	0,3359	0,992
0,228471615	0,1004	0,9278	0,3359	0,992
0,229744219	0,1007	0,9271	0,3364	0,991
0,23199776	0,1019	0,9266	0,3362	0,991
0,232518333	0,1029	0,9273	0,3369	0,992
0,233710417	0,1021	0,9291	0,3376	0,994
0,235381198	0,1004	0,93	0,3379	0,995
0,236640781	0,0999	0,931	0,3379	0,995
0,237274427	0,1009	0,9315	0,3379	0,996
0,23862875	0,1004	0,932	0,3379	0,996
0,239579167	0,0997	0,9322	0,3374	0,996
0,240641979	0,0997	0,9322	0,3376	0,996
0,242054062	0,0987	0,9332	0,3386	0,998
0,243430833	0,0982	0,9349	0,3386	0,999
0,244441146	0,0985	0,9349	0,3379	0,999
0,245584792	0,0989	0,9347	0,3369	0,998
0,24788625	0,0985	0,9354	0,3357	0,999
0,248466667	0,0985	0,9364	0,3354	1
0,252473021	0,0987	0,9366	0,3357	1
0,253066719	0,0999	0,9366	0,3357	1
0,253427135	0,1004	0,9366	0,3352	1
0,253715417	0,0992	0,9371	0,3347	1
0,254339479	0,0982	0,9378	0,3349	1,001
0,25543625	0,0982	0,9383	0,3354	1,001
0,25662651	0,0994	0,9383	0,3352	1,001
0,25782151	0,0999	0,9369	0,3349	1
0,259147135	0,0999	0,9361	0,3344	0,999
0,260276406	0,1002	0,9374	0,333	1
0,261436979	0,1004	0,9378	0,332	1
0,262608542	0,1004	0,9376	0,3322	1
0,265477812	0,1002	0,9369	0,333	0,999
0,267281406	0,1002	0,9369	0,3332	0,999
0,2696275	0,1002	0,9374	0,332	0,999
0,270229479	0,1007	0,9371	0,3313	0,999
0,270725208	0,1014	0,9371	0,331	0,999
0,271037812	0,1014	0,9369	0,3308	0,999
0,271343698	0,1033	0,9352	0,3303	0,997
0,272335	0,1058	0,9344	0,3303	0,997
0,273458437	0,1068	0,9339	0,331	0,997
0,274843854	0,1072	0,9327	0,3303	0,995
0,2758675	0,107	0,9315	0,3298	0,994
0,2770875	0,107	0,9305	0,3296	0,993
0,278251719	0,1077	0,9303	0,3296	0,993
0,279451198	0,109	0,9303	0,3301	0,993
0,282266719	0,1112	0,9305	0,3303	0,994
0,283005417	0,1121	0,9303	0,3305	0,994
0,283616875	0,1129	0,9295	0,3305	0,993
0,28476974	0,1134	0,9293	0,3298	0,993
0,286112917	0,1129	0,9286	0,3283	0,991
0,28713776	0,1134	0,9281	0,3281	0,991
0,288105208	0,1141	0,9286	0,3279	0,991
0,289313958	0,1141	0,9283	0,3276	0,991
0,290446927	0,1141	0,9276	0,3274	0,99
0,291738958	0,1141	0,9271	0,3266	0,99
0,29305099	0,1138	0,9269	0,3264	0,989
0,294202656	0,1136	0,9271	0,3269	0,99
0,295529896	0,1141	0,9271	0,3276	0,99
0,296511562	0,1148	0,9266	0,3279	0,99
0,298661719	0,1151	0,9251	0,3274	0,988
0,299254323	0,1143	0,9244	0,3266	0,987
0,300395365	0,1134	0,9251	0,3271	0,988
0,301549531	0,1134	0,9261	0,3266	0,989
0,302855781	0,1124	0,9269	0,3257	0,989
0,30387724	0,1119	0,9281	0,3254	0,99
0,304902917	0,1121	0,9295	0,3259	0,991
0,306080365	0,1112	0,9303	0,3264	0,992
0,307385677	0,1104	0,9303	0,3274	0,992
0,308479948	0,1109	0,93	0,3279	0,992
0,309840729	0,1116	0,9303	0,3283	0,993
0,311241771	0,1107	0,9312	0,3296	0,994
0,3121175	0,1099	0,9325	0,3301	0,995
0,313370052	0,1107	0,9327	0,3298	0,995
0,315644531	0,1112	0,9315	0,3296	0,994
0,316229792	0,1114	0,9312	0,3288	0,994
0,317440417	0,1114	0,9317	0,3293	0,994
0,318589583	0,1119	0,9325	0,3303	0,996
0,319779271	0,1126	0,933	0,3296	0,996
0,320805885	0,1124	0,933	0,3288	0,996
0,321983385	0,1114	0,9327	0,3303	0,996
0,323259479	0,1099	0,932	0,3313	0,995
0,324314792	0,109	0,9315	0,3308	0,994
0,3256825	0,1082	0,9317	0,3308	0,995
0,326932969	0,1077	0,932	0,331	0,995
0,327984948	0,1085	0,9317	0,3303	0,994
0,32923401	0,1097	0,9317	0,3301	0,995
0,331980729	0,1097	0,9312	0,331	0,994
0,332557812	0,1092	0,9303	0,3318	0,994
0,332921667	0,1094	0,9303	0,332	0,994
0,334234375	0,1099	0,9308	0,331	0,994
0,336501354	0,1097	0,9305	0,3303	0,993
0,337431667	0,1092	0,93	0,3296	0,993
0,337888177	0,1085	0,9303	0,3303	0,993
0,338907031	0,1087	0,9298	0,3313	0,993
0,339987344	0,1092	0,9286	0,3288	0,991
0,341123906	0,1087	0,9281	0,3264	0,99
0,342288125	0,1077	0,9283	0,3259	0,99
0,343737604	0,1068	0,9286	0,3254	0,99
0,344837552	0,106	0,9283	0,3244	0,989
0,34601151	0,108	0,9281	0,3252	0,989
0,35093776	0,1094	0,9278	0,3259	0,989
0,351593385	0,1085	0,9276	0,3259	0,989
0,351991302	0,1077	0,9273	0,3261	0,989
0,352302812	0,107	0,9269	0,3254	0,988
0,352615937	0,1068	0,9273	0,3259	0,989
0,353629635	0,1077	0,9286	0,3269	0,99
0,354661875	0,1082	0,9288	0,3266	0,99
0,355893594	0,1077	0,9293	0,3266	0,991
0,357005677	0,108	0,9291	0,3261	0,991
0,358230573	0,1082	0,9286	0,3259	0,99
0,359560469	0,1087	0,9281	0,3261	0,99
0,360576406	0,1097	0,9278	0,3261	0,99
0,361878177	0,1099	0,9278	0,3266	0,99
0,363136406	0,1097	0,9266	0,3264	0,989
0,364808021	0,1097	0,9261	0,3254	0,988
0,365835156	0,1092	0,9261	0,3247	0,987
0,366969896	0,1092	0,9261	0,3247	0,987
0,368145208	0,1085	0,9261	0,3249	0,987
0,369227552	0,1072	0,9254	0,3249	0,987
0,370617656	0,1065	0,9249	0,3244	0,986
0,371972448	0,107	0,9251	0,3237	0,986
0,373270312	0,1077	0,9251	0,3237	0,986
0,374171719	0,1072	0,9259	0,3237	0,987
0,375448594	0,1068	0,9276	0,3225	0,988
0,376968177	0,1065	0,9293	0,3215	0,989
0,377946458	0,1065	0,9303	0,3217	0,99
0,379189896	0,107	0,9308	0,3213	0,99
0,380575573	0,1065	0,9312	0,321	0,991
0,382769792	0,1053	0,9317	0,3225	0,992
0,383399375	0,1046	0,9327	0,3235	0,993
0,384411406	0,1048	0,9342	0,3235	0,994
0,387080833	0,1053	0,9337	0,323	0,994
0,387571667	0,1055	0,9339	0,3222	0,994
0,387908854	0,1055	0,9339	0,3222	0,994
0,388810417	0,106	0,933	0,323	0,993
0,389957448	0,1058	0,9325	0,3235	0,993
0,391464739	0,1058	0,9337	0,3237	0,994
0,392160417	0,106	0,9347	0,3242	0,995
0,393302969	0,1053	0,9334	0,3249	0,994
0,394673177	0,1046	0,9325	0,3259	0,993
0,395745729	0,1041	0,933	0,3269	0,994
0,398384948	0,1038	0,9327	0,3279	0,994
0,398924375	0,1036	0,9322	0,3281	0,994
0,399502239	0,1041	0,9315	0,3281	0,993
0,40076651	0,1058	0,9315	0,3281	0,993
0,402118542	0,107	0,931	0,3276	0,993
0,403345989	0,1065	0,9295	0,3269	0,991
0,404379375	0,107	0,9295	0,3269	0,991
0,405698385	0,1077	0,9295	0,3274	0,991
0,406607344	0,1082	0,9288	0,3286	0,991
0,408009896	0,1092	0,9278	0,3286	0,99
0,409202239	0,1094	0,9269	0,3281	0,989
0,410378698	0,1097	0,9269	0,3286	0,989
0,41150625	0,1104	0,9273	0,3291	0,99
0,412784531	0,1099	0,9273	0,3288	0,99
0,416036146	0,1087	0,9269	0,3279	0,989
0,416701719	0,109	0,9273	0,3271	0,989
0,417053073	0,1094	0,9276	0,3266	0,989
0,417789375	0,1092	0,9271	0,3269	0,989
0,419543229	0,1097	0,9259	0,3264	0,988
0,4201725	0,1107	0,9254	0,3261	0,987
0,421325833	0,1104	0,9264	0,3271	0,989
0,422449323	0,1107	0,9271	0,3281	0,99
0,423719219	0,1114	0,9283	0,3279	0,991
0,425018489	0,1112	0,93	0,3279	0,992
0,426283489	0,1104	0,9305	0,3274	0,993
0,427350781	0,1102	0,9298	0,3269	0,992
0,428572812	0,1112	0,93	0,3274	0,992
0,429660104	0,1119	0,9305	0,3279	0,993
0,431892917	0,1114	0,9325	0,3279	0,995
0,432500052	0,1109	0,9339	0,3274	0,996
0,433696614	0,1107	0,9337	0,3276	0,996
0,434939896	0,1104	0,9347	0,3281	0,997
0,435907604	0,1109	0,9361	0,3286	0,998
0,437058542	0,1109	0,9369	0,3296	0,999
0,438141667	0,1102	0,9378	0,3303	1
0,439390937	0,1104	0,9381	0,3315	1,001
0,440512239	0,1109	0,9378	0,3322	1,001
0,441671146	0,1107	0,9369	0,332	1
0,443104219	0,1107	0,9359	0,3322	0,999
0,444145469	0,1109	0,9352	0,3322	0,999
0,445383646	0,1112	0,9344	0,3327	0,998
0,446472604	0,1112	0,9349	0,3337	0,999
0,450859323	0,1107	0,9352	0,3344	0,999
0,451486198	0,109	0,9352	0,3344	0,999
0,451860885	0,1075	0,9349	0,3349	0,999
0,452211823	0,1072	0,9349	0,3349	0,999
0,453709948	0,108	0,9347	0,3352	0,999
0,454152083	0,1085	0,9334	0,3364	0,998
0,455320989	0,1082	0,9325	0,3369	0,997
0,456489062	0,1077	0,9317	0,3362	0,996
0,457614635	0,1068	0,931	0,3352	0,995
0,458906302	0,1065	0,9305	0,3354	0,995
0,460207969	0,1077	0,9298	0,3366	0,995
0,46134901	0,1077	0,9286	0,3366	0,994
0,463299427	0,1053	0,9269	0,3354	0,991
0,465283385	0,1041	0,9254	0,3352	0,99
0,465849948	0,1051	0,9251	0,3352	0,99
0,466183177	0,1055	0,9242	0,3347	0,989
0,467547187	0,1048	0,9229	0,3344	0,987
0,468475469	0,1041	0,9227	0,3337	0,987
0,469821562	0,1043	0,921	0,3332	0,985
0,470839114	0,1051	0,9183	0,3327	0,982
0,472010469	0,1046	0,9168	0,3318	0,981
0,473146302	0,1033	0,9164	0,3318	0,98
0,474413333	0,1036	0,9156	0,3315	0,979
0,475616614	0,1036	0,9142	0,3308	0,978
0,47681276	0,1036	0,9129	0,3305	0,976
0,477995052	0,1041	0,9117	0,3296	0,975
0,479390885	0,1048	0,9098	0,3283	0,973
0,482394687	0,1046	0,909	0,3274	0,972
0,484719687	0,1046	0,9083	0,3261	0,971
0,485146875	0,1043	0,9068	0,3249	0,969
0,485470937	0,1033	0,9061	0,3232	0,968
0,486279635	0,1029	0,9056	0,321	0,966
0,487014635	0,1041	0,9054	0,3198	0,966
0,488000573	0,1051	0,9056	0,3198	0,966
0,489046458	0,1051	0,9059	0,3193	0,966
0,490191771	0,1048	0,9063	0,3188	0,966
0,491469948	0,1041	0,9068	0,3191	0,967
0,492643437	0,1051	0,9078	0,3188	0,968
0,493766562	0,1055	0,9088	0,3176	0,968
0,495126146	0,1055	0,9102	0,3161	0,969
0,496209323	0,1063	0,91	0,3156	0,969
0,499116406	0,1063	0,9088	0,3149	0,968
0,499854427	0,1055	0,9093	0,3134	0,968
0,500280989	0,1051	0,9105	0,3127	0,968
0,50163776	0,1043	0,9107	0,3122	0,968
0,502636146	0,1048	0,911	0,3129	0,969
0,504282083	0,1055	0,912	0,3132	0,97
0,504994948	0,1055	0,9124	0,3124	0,97
0,506190833	0,1065	0,9129	0,3117	0,971
0,507258802	0,1072	0,9137	0,311	0,971
0,508403385	0,107	0,9139	0,312	0,972
0,509787656	0,107	0,9146	0,3127	0,973
0,511274479	0,1077	0,9149	0,3127	0,973
0,512079062	0,1085	0,9144	0,3129	0,973
0,513201875	0,1082	0,9144	0,3127	0,972
0,515710104	0,108	0,9146	0,3124	0,973
0,517304948	0,1082	0,9156	0,312	0,973
0,519049739	0,1087	0,9164	0,3115	0,974
0,520252083	0,1087	0,9166	0,3124	0,974
0,520824635	0,109	0,9168	0,3127	0,975
0,521373646	0,1094	0,9173	0,3124	0,975
0,521799583	0,1087	0,9183	0,3124	0,976
0,523452604	0,1077	0,9183	0,3117	0,976
0,52433276	0,1075	0,9183	0,3107	0,975
0,525457969	0,108	0,9186	0,3102	0,976
0,526601719	0,1082	0,9183	0,311	0,976
0,527763854	0,108	0,9168	0,3117	0,974
0,528965	0,1082	0,9154	0,3122	0,973
0,530326302	0,108	0,9146	0,3134	0,973
0,534873646	0,108	0,9134	0,3137	0,972
0,536260781	0,1082	0,9124	0,3127	0,971
0,536890573	0,109	0,9124	0,3124	0,971
0,537452187	0,1099	0,9112	0,3124	0,97
0,537947656	0,1109	0,9093	0,3129	0,968
0,538398125	0,1109	0,9081	0,3139	0,967
0,539006146	0,1097	0,9073	0,3141	0,966
0,540437916	0,109	0,9066	0,3144	0,966
0,541235416	0,1085	0,9059	0,3154	0,965
0,543690156	0,1087	0,9041	0,3171	0,964
0,544416979	0,109	0,9015	0,3183	0,962
0,544865364	0,1092	0,8993	0,3186	0,96
0,546327239	0,1104	0,898	0,3188	0,959
0,551894219	0,1126	0,8978	0,3198	0,96
0,552425677	0,1136	0,8968	0,3205	0,959
0,552736771	0,1138	0,8954	0,3213	0,958
0,553045312	0,1141	0,8949	0,322	0,958
0,553318125	0,1143	0,8954	0,323	0,959
0,553563698	0,1153	0,8951	0,3242	0,959
0,554372448	0,1168	0,8946	0,3249	0,959
0,555586875	0,118	0,8946	0,3257	0,959
0,556714635	0,119	0,8949	0,3261	0,96
0,557955625	0,1202	0,8958	0,3257	0,961
0,55940776	0,1207	0,8966	0,3249	0,961
0,56041276	0,1199	0,8971	0,3254	0,962
0,56171526	0,1204	0,898	0,3252	0,963
0,563085989	0,1214	0,8978	0,3247	0,962
0,564993385	0,1217	0,8993	0,3247	0,964
0,565729791	0,1212	0,9034	0,3244	0,968
0,566779583	0,1207	0,9061	0,3237	0,97
0,567785364	0,1202	0,9078	0,323	0,971
0,568945937	0,1199	0,91	0,3222	0,973
0,570136562	0,1197	0,912	0,321	0,974
0,571412083	0,1195	0,9146	0,32	0,976
0,572468021	0,1195	0,9173	0,3198	0,979
0,573755781	0,1199	0,9198	0,3196	0,981
0,5748525	0,1209	0,9234	0,3183	0,984
0,576161406	0,1209	0,9291	0,3171	0,989
0,577348854	0,1199	0,9339	0,3159	0,993
0,57854526	0,1204	0,9374	0,3137	0,996
0,579731458	0,1219	0,9405	0,3117	0,998
0,58224875	0,1226	0,9432	0,3102	1
0,584542187	0,1226	0,9476	0,3085	1,004
0,585475729	0,1221	0,9525	0,3078	1,008
0,586987708	0,1212	0,9579	0,3066	1,013
0,588038489	0,1204	0,9625	0,3058	1,017
0,588609948	0,1202	0,9667	0,3066	1,021
0,589120989	0,1207	0,9718	0,3066	1,026
0,589572812	0,1202	0,9757	0,3056	1,029
0,590800312	0,1185	0,9791	0,3044	1,032
0,591923594	0,1173	0,9833	0,3034	1,036
0,59315026	0,1168	0,9872	0,3022	1,039
0,594438125	0,1158	0,9904	0,3002	1,041
0,595424062	0,1156	0,994	0,2988	1,044
0,596798489	0,1153	0,9965	0,2978	1,046
0,600675573	0,1138	0,9979	0,2966	1,047
0,603159271	0,1134	1,0004	0,2953	1,049
0,604125208	0,1141	1,0026	0,2944	1,051
0,604664479	0,1156	1,0046	0,2929	1,053
0,605172396	0,116	1,0082	0,2919	1,056
0,60558526	0,1143	1,0121	0,2917	1,06
0,606016719	0,1126	1,0143	0,291	1,061
0,606382864	0,1126	1,0158	0,2892	1,062
0,607951979	0,1121	1,0175	0,288	1,063
0,608723333	0,1112	1,0197	0,2873	1,065
0,610080364	0,1104	1,0209	0,2858	1,066
0,611226562	0,1109	1,0219	0,2848	1,067
0,612581823	0,1114	1,0221	0,2848	1,067
0,613745729	0,1109	1,0224	0,2853	1,067
0,61664901	0,1114	1,0226	0,2853	1,068
0,61797026	0,1119	1,0216	0,2839	1,066
0,618767969	0,1119	1,0209	0,2822	1,065
0,619393177	0,1116	1,0209	0,2819	1,065
0,619946458	0,1114	1,0212	0,2827	1,065
0,621238281	0,1104	1,0214	0,2822	1,065
0,622618646	0,1099	1,0214	0,2817	1,065
0,623499948	0,109	1,0199	0,2807	1,063
0,624609271	0,1077	1,017	0,2792	1,06
0,62603026	0,1068	1,0148	0,278	1,058
0,62727901	0,1063	1,0131	0,2768	1,056
0,628520364	0,1058	1,0114	0,2768	1,054
0,629430364	0,1051	1,0097	0,2763	1,052
0,632465989	0,1041	1,0068	0,2748	1,049
0,633201771	0,1036	1,0028	0,2726	1,044
0,633636198	0,1038	0,9992	0,2714	1,041
0,634858437	0,1043	0,9967	0,2704	1,038
0,635842708	0,1046	0,994	0,2702	1,035
0,637493177	0,1048	0,9921	0,2697	1,033
0,638015156	0,1051	0,9896	0,2687	1,031
0,639379739	0,1036	0,9865	0,2675	1,027
0,640450208	0,1031	0,9823	0,2663	1,023
0,641774948	0,1046	0,9779	0,2665	1,019
0,643900469	0,1053	0,9745	0,2665	1,016
0,644424583	0,1053	0,9708	0,2665	1,012
0,646040208	0,1041	0,9674	0,2663	1,009
0,647505521	0,1041	0,9645	0,2656	1,006
0,648371666	0,1055	0,9611	0,2656	1,003
0,657634739	0,1055	0,9584	0,2656	1
0,659009739	0,106	0,955	0,266	0,997
0,659876094	0,1072	0,952	0,2668	0,995
0,660282344	0,108	0,9496	0,2675	0,992
0,660663333	0,1087	0,9457	0,2673	0,989
0,661082604	0,1092	0,9422	0,2678	0,986
0,661428906	0,1102	0,94	0,2685	0,984
0,661783177	0,1109	0,9381	0,2685	0,982
0,67074026	0,1114	0,9359	0,269	0,98
0,671851927	0,1129	0,9342	0,2695	0,979
0,67228375	0,1141	0,9332	0,27	0,978
0,672621458	0,1138	0,9325	0,2719	0,978
0,672933594	0,1151	0,931	0,2726	0,977
0,673243229	0,1175	0,9291	0,2722	0,975
0,673562031	0,1187	0,9278	0,2724	0,974
0,673890521	0,1195	0,9271	0,2734	0,974
0,674200156	0,1199	0,9269	0,2753	0,974
0,674596979	0,1204	0,9283	0,2768	0,976
0,674927135	0,1209	0,9288	0,2761	0,976
0,675229114	0,1217	0,9281	0,277	0,976
0,675560364	0,1226	0,9278	0,28	0,977
0,675953437	0,1234	0,9288	0,2814	0,978
0,676288281	0,1243	0,9303	0,2819	0,98
0,676712969	0,1253	0,9322	0,2819	0,982
0,677970833	0,1263	0,9337	0,2819	0,983
0,679163021	0,1278	0,9349	0,2831	0,985
