time_ajustado	gFy
0.35159338	0.3259
0.35199130	0.3261
0.35230281	0.3254
0.35261593	0.3259
0.35362963	0.3269
0.35466187	0.3266
0.35589359	0.3266
0.35700567	0.3261
0.35823057	0.3259
0.35956046	0.3261
0.36057640	0.3261
0.36187817	0.3266
0.36313640	0.3264
0.36480802	0.3254
0.36583515	0.3247
0.36696989	0.3247
0.36814520	0.3249
0.36922755	0.3249
0.37061765	0.3244
0.37197244	0.3237
0.37327031	0.3237
0.37417171	0.3237
0.37544859	0.3225
0.37696817	0.3215
0.37794645	0.3217
0.37918989	0.3213
0.38057557	0.321
0.38276979	0.3225
0.38339937	0.3235
0.38441140	0.3235
0.38708083	0.323
0.38757166	0.3222
0.38790885	0.3222
0.38881041	0.323
0.38995744	0.3235
0.39146473	0.3237
0.39216041	0.3242
0.39330296	0.3249
0.39467317	0.3259
0.39574572	0.3269
0.39838494	0.3279
0.39892437	0.3281
0.39950223	0.3281
0.40076651	0.3281
0.40211854	0.3276
0.40334598	0.3269
0.40437937	0.3269
0.40569838	0.3274
0.40660734	0.3286
0.40800989	0.3286
0.40920223	0.3281
0.41037869	0.3286
0.41150625	0.3291
0.41278453	0.3288
0.41603614	0.3279
0.41670171	0.3271
0.41705307	0.3266
0.41778937	0.3269
0.41954322	0.3264
0.4201725	0.3261
0.42132583	0.3271
0.42244932	0.3281
0.42371921	0.3279
0.42501848	0.3279
0.42628348	0.3274
0.42735078	0.3269
0.42857281	0.3274
0.42966010	0.3279
0.43189291	0.3279
0.43250005	0.3274
0.43369661	0.3276
0.43493989	0.3281
0.43590760	0.3286
0.43705854	0.3296
0.43814166	0.3303
0.43939093	0.3315
0.44051223	0.3322
0.44167114	0.332
0.44310421	0.3322
0.44414546	0.3322
0.44538364	0.3327
0.44647260	0.3337
0.45085932	0.3344
0.45148619	0.3344
0.45186088	0.3349
0.45221182	0.3349
0.45370994	0.3352
0.45415208	0.3364
0.45532098	0.3369
0.45648906	0.3362
0.45761463	0.3352
0.45890630	0.3354
0.46020796	0.3366
0.46134901	0.3366
0.46329942	0.3354
0.46528338	0.3352
0.46584994	0.3352
0.46618317	0.3347
0.46754718	0.3344
0.46847546	0.3337
0.46982156	0.3332
0.47083911	0.3327
0.47201046	0.3318
0.47314630	0.3318
0.47441333	0.3315
0.47561661	0.3308
